iter	Passed	Remaining
459	800	940
460	802	937
461	803	935
462	804	932
463	804	929
464	805	927
465	806	924
466	807	921
467	808	919
468	809	916
469	810	913
470	813	913
471	815	911
472	815	909
473	816	906
474	817	903
475	818	900
476	818	897
477	819	895
478	820	892
479	821	889
480	821	886
481	822	884
482	823	881
483	824	878
484	825	876
485	826	874
486	828	872
487	829	869
488	830	867
489	831	864
490	832	862
491	833	860
492	834	857
493	834	855
494	835	852
495	836	849
496	837	847
497	837	844
498	838	842
499	840	840
500	842	838
501	842	836
502	843	833
503	844	830
504	845	828
505	845	825
506	846	823
507	847	820
508	848	818
509	848	815
510	849	813
511	850	810
512	851	808
513	854	807
514	855	805
515	856	802
516	856	800
517	857	797
518	858	795
519	858	792
520	859	790
521	860	787
522	861	785
523	861	782
524	862	780
525	863	777
526	864	775
527	865	774
528	867	772
529	868	770
530	869	767
531	869	765
532	870	762
533	871	760
534	871	757
535	872	755
536	873	752
537	873	750
538	874	748
539	875	745
540	875	743
541	876	740
542	877	738
543	877	735
544	878	733
545	881	732
546	882	730
547	883	728
548	883	726
549	884	723
550	885	721
551	885	719
552	886	716
553	887	714
554	887	711
555	888	709
556	889	707
557	889	704
558	890	702
559	891	700
560	892	698
561	894	697
562	895	695
563	896	692
564	896	690
565	897	688
566	898	685
567	898	683
568	899	681
569	900	679
570	901	677
571	901	674
572	902	672
573	903	670
574	903	667
575	904	665
576	906	664
577	908	663
578	909	661
579	910	659
580	910	656
581	911	654
582	912	652
583	912	650
584	913	647
585	914	645
586	914	643
587	915	641
588	916	639
589	917	637
590	917	635
591	918	633
592	919	631
593	922	630
594	923	628
595	924	626
596	924	624
597	925	622
598	926	620
599	926	617
600	927	615
601	928	613
602	928	611
603	929	609
604	930	607
605	930	605
606	931	603
607	933	601
608	935	600
609	936	598
610	936	596
611	937	594
612	938	592
613	939	590
614	939	588
615	940	586
616	940	584
617	941	582
618	942	580
619	943	578
620	943	576
621	944	573
622	945	571
623	945	569
624	946	567
625	950	567
626	950	565
627	951	563
628	952	561
629	952	559
630	953	557
631	954	555
632	954	553
633	955	551
634	956	549
635	957	548
636	958	546
637	958	544
638	959	542
639	960	540
640	962	539
641	963	537
642	964	535
643	964	533
644	965	531
645	966	529
646	966	527
647	967	525
648	968	523
649	968	521
650	969	519
651	970	517
652	971	516
653	971	514
654	972	512
655	973	510
656	974	508
657	977	508
658	978	506
659	978	504
660	979	502
661	980	500
662	980	498
663	981	496
664	982	494
665	983	493
666	983	491
667	984	489
668	984	487
669	985	485
670	986	483
671	987	481
672	988	480
673	990	478
674	991	477
675	991	475
676	992	473
677	993	471
678	993	469
679	994	467
680	995	466
681	995	464
682	996	462
683	997	460
684	997	458
685	998	457
686	999	455
687	999	453
688	1000	451
689	1001	449
690	1003	448
691	1004	447
692	1005	445
693	1006	443
694	1006	441
695	1007	440
696	1008	438
697	1009	436
698	1009	434
699	1010	433
700	1010	431
701	1011	429
702	1012	427
703	1013	425
704	1013	424
705	1014	422
706	1015	420
707	1017	419
708	1018	418
709	1019	416
710	1019	414
711	1020	412
712	1021	411
713	1021	409
714	1022	407
715	1022	405
716	1023	404
717	1024	402
718	1025	400
719	1026	399
720	1026	397
721	1027	395
722	1027	393
723	1029	392
724	1030	391
725	1031	389
726	1032	387
727	1033	386
728	1034	384
729	1034	382
730	1035	381
731	1036	379
732	1036	377
733	1037	375
734	1038	374
735	1038	372
736	1039	370
737	1040	369
738	1040	367
739	1041	365
740	1043	364
741	1044	363
742	1045	361
743	1045	359
744	1046	358
745	1047	356
746	1047	354
747	1048	353
748	1049	351
749	1050	350
750	1050	348
751	1051	346
752	1051	345
753	1052	343
754	1053	341
755	1054	340
756	1057	339
757	1058	338
758	1059	336
759	1060	334
760	1060	333
761	1061	331
762	1062	329
763	1062	328
764	1063	326
765	1064	325
766	1065	323
767	1065	321
768	1066	320
769	1067	318
770	1067	317
771	1068	315
772	1070	314
773	1070	312
774	1071	311
775	1072	309
776	1073	308
777	1074	306
778	1075	305
779	1076	303
780	1077	302
781	1078	300
782	1079	299
783	1079	297
784	1080	295
785	1083	294
786	1085	293
787	1085	292
788	1086	290
789	1087	289
790	1088	287
791	1088	285
792	1089	284
793	1090	282
794	1090	281
795	1091	279
796	1092	278
797	1092	276
798	1093	275
799	1094	273
800	1094	272
801	1096	270
802	1098	269
803	1099	268
804	1100	266
805	1100	264
806	1101	263
807	1102	261
808	1102	260
809	1103	258
810	1104	257
811	1105	255
812	1105	254
813	1106	252
814	1107	251
815	1107	249
816	1109	248
817	1110	247
818	1111	245
819	1112	244
820	1113	242
821	1114	241
822	1114	239
823	1115	238
824	1116	236
825	1116	235
826	1117	233
827	1118	232
828	1118	230
829	1119	229
830	1120	227
831	1120	226
832	1121	224
833	1122	223
834	1125	222
835	1126	220
836	1127	219
837	1127	218
838	1128	216
839	1129	215
840	1129	213
841	1130	212
842	1131	210
843	1131	209
844	1132	207
845	1133	206
846	1133	204
847	1134	203
848	1135	201
849	1138	200
850	1139	199
851	1140	198
852	1140	196
853	1141	195
854	1142	193
855	1142	192
856	1143	190
857	1143	189
858	1144	187
859	1145	186
860	1146	185
861	1147	183
862	1147	182
863	1148	180
864	1149	179
865	1150	177
866	1153	176
867	1154	175
868	1155	174
869	1155	172
870	1156	171
871	1157	169
872	1157	168
873	1158	167
874	1159	165
875	1160	164
876	1160	162
877	1161	161
878	1161	159
879	1162	158
880	1163	157
881	1166	156
882	1167	154
883	1167	153
884	1168	151
885	1169	150
886	1169	149
887	1170	147
888	1171	146
889	1172	144
890	1172	143
891	1173	142
892	1174	140
893	1174	139
894	1175	137
895	1175	136
896	1176	135
897	1177	133
898	1178	132
899	1180	131
900	1180	129
901	1181	128
902	1182	127
903	1182	125
904	1183	124
905	1184	122
906	1184	121
907	1185	120
908	1186	118
909	1187	117
910	1187	116
911	1188	114
912	1188	113
913	1189	111
914	1190	110
915	1193	109
916	1194	108
917	1194	106
918	1195	105
919	1196	104
920	1196	102
921	1197	101
922	1198	99
923	1198	98
924	1199	97
925	1200	95
926	1200	94
927	1201	93
928	1202	91
929	1202	90
930	1203	89
931	1204	87
932	1205	86
933	1206	85
934	1207	83
935	1208	82
936	1209	81
937	1209	79
938	1210	78
939	1211	77
940	1211	75
941	1212	74
942	1213	73
943	1213	72
944	1214	70
945	1215	69
946	1215	68
947	1216	66
948	1216	65
949	1217	64
950	1218	62
951	1220	61
952	1221	60
953	1222	58
954	1223	57
955	1224	56
956	1224	55
957	1225	53
958	1225	52
959	1226	51
960	1227	49
961	1227	48
962	1228	47
963	1229	45
964	1229	44
965	1230	43
966	1231	42
967	1232	40
968	1234	39
969	1235	38
970	1236	36
971	1236	35
972	1237	34
973	1238	33
974	1238	31
975	1239	30
976	1240	29
977	1240	27
978	1241	26
979	1242	25
980	1242	24
981	1243	22
982	1244	21
983	1244	20
984	1247	19
985	1249	17
986	1249	16
987	1250	15
988	1251	13
989	1251	12
990	1252	11
991	1253	10
992	1254	8
993	1254	7
994	1255	6
995	1255	5
996	1256	3
997	1257	2
998	1257	1
999	1258	0
